id,nome,latitude,longitude,tipo
2947,"Empório de Sucatas Belvedere",-22.3698104,-47.3917267,comercio
2948,"Abigail e Reciclagem",-23.4110398,-46.5004551,comercio
2949,"Cooperativa de Coleta Seletiva - Coopervida",-22.0373471,-47.8766804,cooperativa
2950,"Grupo Espírita Lar Meimei",-22.2346669,-43.7035348,pev
2951,type,-23.68732868,-46.690135,cooperativa
2952,"ASCOB - Associação dos Catadores de Materiais Recicláveis e Reaproveitáveis de Ouro Branco",-20.5242253,-43.6912866,cooperativa
2953,type,-20.7459796,-48.91465,comercio
2954,type,-21.6151246,-46.8940856,comercio
2955,"RECICLAGEM DA PONTE",-22.7456934,-43.688695,comercio
2956,"MDE Reciclagem",-19.8189319,-40.2738888,comercio
2957,"Reciclagem Beira Linha",-21.1242371,-44.236938,comercio
2958,"Reciclagem União Ltda",-17.8629985,-41.4985379,comercio
2959,"Usina de triagem e compostagem de lixo de Canápolis",-18.7236647,-49.170578,cooperativa
2960,"Cooperativa dos recicladores de Dois Irmãos",-29.57369968,-51.04992628,cooperativa
2961,"Associação de Catadores de Materiais Recicláveis de Contenda",-25.6879592,-49.5327782,associacao
2962,"Pulguinha Comércio de Materiais Usados",-22.2368211,-42.5222527,comercio
2963,"UTC de Mar de Espanha",-21.8695466,-43.0112143,cooperativa
2964,"Ki-Papelão ",-21.61935615,-49.08978939,comercio
2965,"RECOOPERAR - SÃO GONÇALO",-22.8246873,-43.0676235,cooperativa
2966,"Associação dos Catadores de Recicláveis Vida Nova de Guareí",-23.3743539,-48.182495,associacao
2967,"ARPE Complexo - Assoc. de Recicladores de Presidente Epitácio",-21.7803692,-52.1384356,cooperativa
2968,CRV,-15.71385958,-47.8742981,cooperativa
2969,Reciclamix,-3.489106,-39.569542,comercio
2970,"Cooperativa de Reciclagem Araras limpa",-22.34470148,-47.32172012,cooperativa
2971,"Sucata Santo Expedito",-20.9172128,-46.9841443,comercio
2972,"Reciclagens Bela Vista",-23.1761536,-50.6385325,comercio
2973,"JJ Comércio de Reciclagem",-21.0494444,-48.0583333,comercio
2974,ACOMARP,-20.9172128,-46.9841443,associacao
2975,"RECICRATIU - Associação de catadores de materiais recicláveis de Crateús",-5.3791523,-40.8498937,cooperativa
2976,type,-19.8687436,-44.0599225,comercio
2977,type,-23.3606928,-46.5785021,cooperativa
2978,"ACREPOM- Associação dos Catadores e Recicladores de Papel e Outros Mat",-21.2113554,-50.466356,cooperativa
2979,"Grupo de Catadores de Materiais Recicláveis de Sorriso- Asc ",-12.51072693,-55.75286865,cooperativa
2980,"UTC São José do Goiabal",-19.928644,-42.7010076,cooperativa
2981,"Sucatas Buritama",-21.0172587,-50.1178938,comercio
2982,"Ferro Velho Jacaré",-23.1504842,-49.9555769,comercio
2983,"Catunidos - Cooperativa de Reciclagem dos Catadores da Rede de Economia Solidária",-19.818926,-43.940668,cooperativa
2984,type,-16.68093,-49.292327,cooperativa
2985,"Preserve Comércio de Papéis",-25.5267692,-54.5920384,comercio
2986,type,-20.7978954,-49.3937353,cooperativa
2987,"ASCITO - Associação dos Catadores de Mat. Recicláveis de Itabirito",-20.24683,-43.803381,cooperativa
2988,"Coopbrarecicle - Ação Educativa Lixo Legal",-22.8917644,-42.987258,cooperativa
2989,ACRENE,-25.5397701,-48.5120133,cooperativa
2990,type,-23.39132805,-51.13455353,cooperativa
2991,"Coop. Eco Pedreira da Aliança - Trabalho, Col. Sel. Jd. Marajoara",-22.7349787,-46.8903433,cooperativa
2992,type,-19.5528127,-40.6353363,pev
2993,type,-23.588667,-46.442792,comercio
2994,type,-19.943637,-44.007678,comercio
2995,type,-9.6618334,-35.7434811,pev
2996,"PEV - BOMPREÇO ITAPARICA",-12.95738633,-38.62483978,pev
2997,type,-29.2548143,-51.5378842,comercio
2998,type,-23.5944793,-48.0539033,pev
2999,type,-22.7118672,-46.8119157,comercio
3000,type,-23.648801,-46.7536437,comercio
3001,"EMEIF SENHORA ANTONIA DEOCLECIA DE FREITAS",-23.7727657,-48.1311933,pev
3002,"Cooperativa de Trabalho de Catadores de Material Reciclável de Hidrolândia ",-16.9706887,-49.23643112,cooperativa
3003,"Reciclagem Brasil",-16.9732392,-48.9596253,comercio
3004,"Sucatas Oliveira",-24.5493916,-49.9406827,comercio
3005,type,-27.2750301,-50.5872904,comercio
3006,"VALDOMIRO FRANCISDCO DE PAULA",-23.2916747,-47.6757272,pev
